"ftwhite","ftblack","ftmuslim","presjob","srv_spend","crimespend","party","ideo5","age","race_white","female"
100,50,50,7,4,2,"Republican",3,56,1,1
70,70,62,6,4,3,"Republican",4,57,1,1
69,63,1,7,1,4,"Republican",5,63,1,1
86,87,65,2,6,4,"Democrat",NA,66,0,1
85,85,21,7,2,3,"Republican",4,79,1,0
100,99,70,7,1,4,"Republican",5,52,1,0
60,54,24,7,2,3,"Republican",4,55,1,1
56,72,50,2,5,4,"Independent",1,63,1,0
60,51,52,3,3,4,"Independent",4,60,1,1
44,50,41,7,4,5,"Independent",3,63,1,0
99,99,80,3,3,5,"Republican",3,52,1,1
70,60,55,2,6,5,"Democrat",1,40,0,0
89,40,29,7,1,1,"Independent",4,74,1,0
99,NA,13,3,5,4,"Democrat",3,55,1,1
75,15,0,7,1,7,NA,5,64,1,0
100,50,25,5,997,3,"Independent",3,60,1,1
90,39,6,7,1,3,"Republican",4,48,1,0
81,34,31,7,1,3,"Republican",5,44,1,0
97,50,47,3,3,4,"Democrat",2,51,1,1
100,100,32,5,7,2,NA,2,58,1,1
71,92,NA,2,2,4,"Independent",3,56,0,1
74,71,75,2,5,4,"Democrat",2,27,1,0
50,61,41,7,2,4,"Independent",4,66,1,0
69,70,51,3,997,4,"Democrat",NA,49,0,1
81,91,12,2,7,1,"Democrat",3,72,1,1
50,45,4,7,3,3,"Independent",3,67,1,0
71,59,4,3,4,2,"Democrat",3,36,1,1
52,52,9,2,4,3,"Democrat",2,50,1,1
50,30,30,2,4,5,"Democrat",3,36,1,0
79,99,100,1,7,1,"Republican",5,27,0,0
52,50,1,7,1,4,"Republican",5,46,1,0
97,71,70,1,6,3,"Democrat",2,71,1,0
90,90,88,7,1,7,"Independent",3,26,1,1
50,50,13,7,1,4,NA,5,70,0,0
50,50,50,1,4,5,"Democrat",3,55,0,0
60,76,76,1,7,1,"Independent",3,32,0,1
48,56,20,3,4,5,"Independent",5,22,1,0
90,89,51,7,2,7,"Republican",NA,78,1,1
100,100,0,7,4,3,"Republican",3,45,1,1
100,26,16,7,3,4,"Republican",5,30,1,1
100,94,84,1,6,2,"Democrat",3,65,1,0
50,50,50,7,1,4,"Republican",5,33,0,1
89,50,1,7,3,2,"Republican",5,74,1,1
100,100,100,1,4,4,"Democrat",1,55,0,1
71,90,40,7,3,4,"Independent",4,71,1,1
67,75,56,2,4,5,"Democrat",2,42,0,0
87,84,75,1,7,1,"Democrat",2,64,1,0
69,49,50,4,4,2,"Independent",2,39,1,1
75,80,87,1,6,1,"Democrat",1,75,1,1
2,93,10,7,4,5,"Independent",NA,42,0,0
69,79,41,3,6,3,"Democrat",4,48,1,1
50,50,60,6,3,3,"Republican",4,59,0,0
78,94,84,2,7,3,"Democrat",3,57,0,1
100,50,40,6,3,3,"Republican",4,61,1,1
90,81,79,1,6,2,"Democrat",2,67,1,0
100,100,50,7,1,7,"Independent",5,54,0,0
97,96,95,2,5,2,"Democrat",3,65,1,0
86,41,26,6,4,4,"Republican",4,63,1,1
59,50,10,7,4,2,"Republican",3,57,0,1
88,75,6,3,3,3,"Democrat",3,43,0,1
70,63,10,7,7,1,"Democrat",3,71,1,1
100,34,34,7,997,2,"Republican",3,57,1,1
50,51,50,2,6,3,"Democrat",1,31,1,1
86,81,61,1,5,1,"Democrat",1,78,1,1
85,85,81,1,7,2,"Independent",3,58,0,0
56,69,72,3,6,3,"Democrat",1,60,1,1
86,77,59,3,3,4,"Democrat",3,34,1,1
30,84,21,1,4,3,"Democrat",3,39,0,1
72,72,2,1,5,2,"Democrat",1,56,0,0
100,100,50,7,2,4,NA,5,52,1,1
100,30,1,5,4,4,"Republican",3,78,0,1
44,94,48,2,5,1,"Democrat",3,67,0,0
97,80,1,7,2,2,"Republican",3,54,1,1
96,97,94,4,7,5,"Democrat",2,36,0,0
60,56,16,5,2,5,"Independent",4,42,0,1
50,50,40,7,2,4,"Republican",4,68,1,0
60,20,2,7,1,2,NA,5,70,1,1
83,60,58,2,997,2,"Democrat",4,83,1,1
51,0,0,7,1,7,NA,NA,57,1,0
62,3,30,7,4,2,"Republican",5,67,1,0
70,100,50,7,1,7,NA,5,52,1,0
74,51,37,7,3,4,"Republican",4,57,1,0
50,48,3,7,997,2,"Republican",5,64,1,0
20,85,55,1,7,4,"Democrat",1,62,1,0
66,79,84,6,7,3,NA,3,63,1,1
100,52,0,4,1,4,"Democrat",4,57,1,0
77,74,15,7,2,3,"Republican",4,74,1,1
89,95,40,7,1,4,"Independent",5,63,1,0
100,100,99,1,997,2,"Democrat",2,61,1,0
60,89,0,7,2,7,"Independent",5,63,1,0
100,99,99,1,7,1,"Democrat",1,76,1,1
84,88,88,4,997,4,"Democrat",2,53,0,1
80,90,6,7,1,1,NA,5,48,0,1
70,83,100,1,4,2,"Democrat",1,33,1,1
50,50,78,1,5,2,"Democrat",2,70,1,1
50,50,41,7,2,4,"Independent",3,67,0,1
50,50,39,6,4,4,"Republican",4,52,1,1
100,100,100,5,1,7,NA,3,71,1,0
78,78,45,7,2,1,"Independent",4,80,1,1
100,52,73,4,7,1,"Democrat",3,44,1,1
58,85,27,1,997,5,"Independent",2,28,1,0
82,38,7,7,1,4,"Republican",5,41,1,1
97,91,90,1,7,4,"Democrat",2,78,1,0
49,71,29,5,7,1,"Democrat",4,51,0,1
70,71,71,4,5,1,"Independent",3,37,0,0
22,35,52,5,2,1,"Independent",NA,26,0,0
100,81,25,6,2,1,"Independent",4,82,1,0
